id_transaccion,fecha,hora,id_cliente,tipo_operacion,monto,sucursal_canal
TXN-1668,2026-08-05,17:41,C-409,Retiro Efectivo,2553.28,Cajero Automático
TXN-1689,2026-08-20,17:44,C-758,Retiro Efectivo,1554.63,SUC-Centro
TXN-1615,2026-08-06,19:41,C-258,Transferencia,300.43,SUC-Sur
TXN-1888,2026-08-07,14:48,C-381,Retiro Efectivo,1475.64,SUC-Norte
TXN-1792,2026-08-25,18:09,C-879,Transferencia,606.3,SUC-Sur
TXN-1254,2026-08-07,09:26,C-659,Retiro Efectivo,1815.38,SUC-Centro
TXN-1910,2026-08-25,19:43,C-373,Transferencia,604.55,SUC-Sur
TXN-1922,2026-08-05,10:07,C-800,Deposito,3446.35,Cajero Automático
TXN-1798,2026-08-15,17:05,C-523,Deposito,2221.91,SUC-Norte
TXN-1184,2026-08-22,16:48,C-415,Transferencia,1078.8,Cajero Automático
TXN-1836,2026-08-16,19:41,C-850,Transferencia,1691.75,SUC-Norte
TXN-1819,2026-08-11,17:11,C-953,Transferencia,2880.56,Cajero Automático
TXN-9001,2026-08-15,14:12,C-888,Transferencia,9900.0,Banca Movil
TXN-1522,2026-08-03,07:38,C-219,Retiro Efectivo,1190.44,SUC-Norte
TXN-1055,2026-08-12,11:14,C-984,Transferencia,1103.84,SUC-Sur
TXN-1746,2026-08-25,11:05,C-923,Deposito,1324.55,Cajero Automático
TXN-1247,2026-08-18,15:37,C-638,Transferencia,59.45,Banca Movil
TXN-1870,2026-08-18,19:03,C-482,Transferencia,2496.56,SUC-Norte
TXN-1260,2026-08-23,13:41,C-797,Transferencia,1071.28,SUC-Sur
TXN-1072,2026-08-12,09:17,C-610,Retiro Efectivo,2151.22,SUC-Sur
TXN-1655,2026-08-28,18:05,C-396,Transferencia,2929.88,Cajero Automático
TXN-1044,2026-08-09,11:14,C-347,Transferencia,1462.8,SUC-Norte
TXN-1916,2026-08-07,11:54,C-570,Deposito,1552.05,Banca Movil
TXN-1218,2026-08-25,20:26,C-817,Transferencia,1938.12,Cajero Automático
TXN-1618,2026-08-02,14:29,C-996,Retiro Efectivo,2764.78,SUC-Sur
TXN-1286,2026-08-03,15:26,C-838,Retiro Efectivo,2984.82,SUC-Norte
TXN-1694,2026-08-15,13:32,C-426,Pago Tarjeta,1646.83,SUC-Centro
TXN-1567,2026-08-26,11:18,C-284,Pago Tarjeta,3194.11,SUC-Norte
TXN-1823,2026-08-02,17:11,C-770,Retiro Efectivo,2548.44,Banca Movil
TXN-1807,2026-08-03,12:16,C-666,Transferencia,114.24,SUC-Centro
TXN-1314,2026-08-14,16:18,C-651,Deposito,2388.85,Banca Movil
TXN-1215,2026-08-25,09:55,C-348,Retiro Efectivo,2429.64,SUC-Centro
TXN-1678,2026-08-10,16:42,C-670,Transferencia,2176.38,SUC-Norte
TXN-1635,2026-08-23,14:02,C-557,Retiro Efectivo,2792.81,SUC-Sur
TXN-1519,2026-08-18,20:39,C-974,Transferencia,498.73,SUC-Sur
TXN-1394,2026-08-11,13:37,C-605,Transferencia,1405.49,Cajero Automático
TXN-1259,2026-08-07,16:44,C-838,Pago Tarjeta,3460.9,Banca Movil
TXN-1927,2026-08-07,15:36,C-978,Transferencia,3312.72,SUC-Centro
TXN-1333,2026-08-07,19:42,C-202,Deposito,2269.73,Banca Movil
TXN-1465,2026-08-23,11:39,C-820,Retiro Efectivo,137.19,SUC-Sur
TXN-1060,2026-08-24,18:11,C-263,Deposito,1253.05,SUC-Centro
TXN-1521,2026-08-04,17:35,C-552,Transferencia,929.81,SUC-Norte
TXN-1587,2026-08-12,08:25,C-769,Transferencia,1905.25,Banca Movil
TXN-1730,2026-08-14,17:36,C-479,Transferencia,2975.54,SUC-Sur
TXN-1853,2026-08-08,18:27,C-937,Transferencia,841.73,Cajero Automático
TXN-1585,2026-08-27,18:40,C-652,Deposito,1513.52,SUC-Norte
TXN-1370,2026-08-13,17:16,C-957,Transferencia,1617.89,SUC-Centro
TXN-1500,2026-08-02,13:22,C-183,Pago Tarjeta,3051.91,SUC-Sur
TXN-1290,2026-08-03,08:39,C-687,Pago Tarjeta,440.05,Cajero Automático
TXN-1198,2026-08-24,15:26,C-691,Transferencia,838.04,Banca Movil
TXN-1305,2026-08-16,16:19,C-454,Transferencia,3408.38,SUC-Norte
TXN-1306,2026-08-26,17:27,C-552,Transferencia,500.76,Banca Movil
TXN-1110,2026-08-15,09:15,C-675,Retiro Efectivo,3073.91,Banca Movil
TXN-1448,2026-08-19,14:32,C-840,Deposito,2292.8,Cajero Automático
TXN-1467,2026-08-20,15:45,C-418,Retiro Efectivo,2362.38,SUC-Centro
TXN-1323,2026-08-04,18:31,C-700,Retiro Efectivo,378.59,Cajero Automático
TXN-1664,2026-08-13,13:26,C-788,Transferencia,1946.34,SUC-Sur
TXN-1235,2026-08-03,10:36,C-968,Transferencia,735.33,SUC-Sur
TXN-1814,2026-08-23,16:47,C-300,Deposito,3042.19,SUC-Norte
TXN-1808,2026-08-05,18:01,C-698,Transferencia,2532.44,Banca Movil
TXN-1408,2026-08-03,17:22,C-363,Transferencia,1770.96,SUC-Norte
TXN-1616,2026-08-19,08:11,C-382,Retiro Efectivo,3251.76,SUC-Norte
TXN-1361,2026-08-16,18:43,C-687,Transferencia,2185.78,SUC-Norte
TXN-1210,2026-08-17,14:35,C-961,Retiro Efectivo,217.63,SUC-Sur
TXN-1137,2026-08-16,11:28,C-303,Retiro Efectivo,1366.76,Banca Movil
TXN-1485,2026-08-09,12:27,C-662,Pago Tarjeta,869.7,Banca Movil
TXN-1552,2026-08-24,14:26,C-323,Transferencia,3434.91,Cajero Automático
TXN-1604,2026-08-12,08:33,C-789,Transferencia,1388.71,SUC-Sur
TXN-1826,2026-08-14,19:29,C-363,Pago Tarjeta,2087.56,SUC-Centro
TXN-1549,2026-08-28,11:28,C-936,Deposito,1880.22,SUC-Sur
TXN-1548,2026-08-18,17:05,C-360,Deposito,2646.66,SUC-Norte
TXN-1174,2026-08-20,08:20,C-406,Retiro Efectivo,2384.78,SUC-Norte
TXN-1357,2026-08-28,08:29,C-160,Transferencia,1972.1,SUC-Sur
TXN-1576,2026-08-23,19:22,C-491,Transferencia,3321.33,SUC-Sur
TXN-1644,2026-08-24,19:47,C-511,Pago Tarjeta,1903.17,SUC-Sur
TXN-1332,2026-08-07,19:46,C-153,Transferencia,238.25,Banca Movil
TXN-1078,2026-08-22,08:55,C-617,Transferencia,3022.15,Banca Movil
TXN-1029,2026-08-18,19:16,C-420,Retiro Efectivo,2074.74,SUC-Norte
TXN-1265,2026-08-12,12:40,C-724,Pago Tarjeta,1052.46,Banca Movil
TXN-1261,2026-08-10,08:54,C-758,Transferencia,1651.76,SUC-Norte
TXN-1445,2026-08-01,14:49,C-437,Retiro Efectivo,1241.26,SUC-Centro
TXN-1634,2026-08-02,11:29,C-134,Retiro Efectivo,3203.88,SUC-Norte
TXN-1165,2026-08-21,12:20,C-707,Retiro Efectivo,3380.38,SUC-Norte
TXN-1554,2026-08-08,19:32,C-174,Transferencia,2357.84,SUC-Norte
TXN-1580,2026-08-02,07:29,C-484,Transferencia,75.29,Banca Movil
TXN-1442,2026-08-11,13:33,C-557,Retiro Efectivo,743.07,SUC-Centro
TXN-1065,2026-08-03,15:38,C-420,Transferencia,1420.18,Cajero Automático
TXN-1141,2026-08-05,11:32,C-612,Retiro Efectivo,523.91,SUC-Sur
TXN-1432,2026-08-23,19:11,C-197,Pago Tarjeta,510.13,SUC-Sur
TXN-1381,2026-08-22,20:29,C-997,Transferencia,3377.3,Cajero Automático
TXN-1688,2026-08-19,20:08,C-452,Pago Tarjeta,2602.37,SUC-Centro
TXN-1656,2026-08-04,15:41,C-339,Pago Tarjeta,720.43,Cajero Automático
TXN-1903,2026-08-24,18:58,C-346,Retiro Efectivo,608.19,Cajero Automático
TXN-1828,2026-08-25,10:02,C-941,Transferencia,1379.84,SUC-Norte
TXN-1918,2026-08-01,18:59,C-349,Deposito,815.11,SUC-Sur
TXN-1292,2026-08-08,16:43,C-656,Transferencia,252.33,Banca Movil
TXN-1209,2026-08-21,14:15,C-893,Transferencia,1894.83,SUC-Sur
TXN-1506,2026-08-02,11:22,C-179,Pago Tarjeta,1935.82,SUC-Sur
TXN-1049,2026-08-04,15:33,C-353,Retiro Efectivo,3194.73,Cajero Automático
TXN-1717,2026-08-08,18:28,C-526,Transferencia,3495.61,SUC-Sur
TXN-1964,2026-08-22,08:32,C-387,Transferencia,1454.61,Cajero Automático
TXN-1762,2026-08-05,21:06,C-220,Transferencia,649.78,Banca Movil
TXN-1334,2026-08-18,17:53,C-523,Transferencia,591.4,Cajero Automático
TXN-1890,2026-08-11,09:33,C-393,Retiro Efectivo,1714.51,SUC-Sur
TXN-1529,2026-08-19,12:22,C-622,Retiro Efectivo,2173.85,SUC-Norte
TXN-1468,2026-08-26,12:24,C-806,Pago Tarjeta,739.66,Cajero Automático
TXN-9000,2026-08-15,14:05,C-888,Transferencia,9950.0,Banca Movil
TXN-1231,2026-08-02,15:24,C-893,Retiro Efectivo,2529.74,SUC-Sur
TXN-1568,2026-08-22,12:07,C-887,Transferencia,2886.28,Banca Movil
TXN-1033,2026-08-19,11:35,C-851,Pago Tarjeta,2633.92,SUC-Sur
TXN-1031,2026-08-08,21:38,C-835,Transferencia,614.12,Cajero Automático
TXN-1736,2026-08-13,20:12,C-152,Deposito,668.05,SUC-Sur
TXN-1192,2026-08-10,14:07,C-585,Retiro Efectivo,3159.77,SUC-Sur
TXN-1318,2026-08-24,11:00,C-378,Transferencia,3423.74,SUC-Norte
TXN-1495,2026-08-09,19:08,C-796,Pago Tarjeta,1954.83,SUC-Sur
TXN-1934,2026-08-20,18:30,C-486,Retiro Efectivo,1036.72,SUC-Centro
TXN-1309,2026-08-04,11:12,C-865,Retiro Efectivo,1468.93,SUC-Sur
TXN-1935,2026-08-20,15:26,C-665,Retiro Efectivo,165.95,SUC-Sur
TXN-1715,2026-08-22,16:51,C-675,Pago Tarjeta,1953.0,Banca Movil
TXN-1109,2026-08-06,17:05,C-683,Retiro Efectivo,2950.2,SUC-Sur
TXN-1411,2026-08-22,08:54,C-114,Pago Tarjeta,3276.81,Cajero Automático
TXN-1077,2026-08-02,19:31,C-502,Retiro Efectivo,2260.05,SUC-Centro
TXN-1680,2026-08-18,12:19,C-852,Transferencia,2065.39,Banca Movil
TXN-1924,2026-08-22,09:15,C-968,Transferencia,1847.47,Cajero Automático
TXN-1082,2026-08-03,12:11,C-697,Transferencia,1080.83,Banca Movil
TXN-1404,2026-08-17,10:54,C-266,Transferencia,1604.24,SUC-Sur
TXN-1331,2026-08-08,11:43,C-338,Retiro Efectivo,3457.88,Cajero Automático
TXN-1605,2026-08-21,15:12,C-836,Pago Tarjeta,2224.25,Cajero Automático
TXN-1382,2026-08-23,21:44,C-138,Retiro Efectivo,1057.34,SUC-Sur
TXN-1539,2026-08-02,14:21,C-159,Retiro Efectivo,1792.73,Banca Movil
TXN-1846,2026-08-24,21:24,C-757,Transferencia,3144.54,Banca Movil
TXN-1002,2026-08-01,20:31,C-131,Transferencia,3041.8,SUC-Centro
TXN-1101,2026-08-21,11:55,C-844,Transferencia,2556.6,Cajero Automático
TXN-1371,2026-08-09,16:24,C-280,Deposito,1982.52,SUC-Centro
TXN-1462,2026-08-15,08:20,C-515,Transferencia,2973.19,SUC-Norte
TXN-1453,2026-08-17,15:19,C-468,Transferencia,448.15,Banca Movil
TXN-1208,2026-08-27,20:30,C-734,Transferencia,932.47,SUC-Sur
TXN-1885,2026-08-09,16:09,C-117,Retiro Efectivo,1000.68,SUC-Sur
TXN-1005,2026-08-08,21:53,C-658,Transferencia,598.45,SUC-Norte
TXN-1054,2026-08-28,11:19,C-493,Retiro Efectivo,2827.55,SUC-Sur
TXN-1307,2026-08-14,18:16,C-771,Pago Tarjeta,3225.37,SUC-Sur
TXN-1858,2026-08-13,08:05,C-522,Transferencia,2607.81,SUC-Centro
TXN-1811,2026-08-13,10:46,C-527,Transferencia,345.83,SUC-Norte
TXN-1447,2026-08-20,16:06,C-696,Deposito,3435.61,Banca Movil
TXN-1097,2026-08-22,16:14,C-210,Transferencia,171.85,SUC-Norte
TXN-1597,2026-08-13,15:05,C-328,Pago Tarjeta,351.95,SUC-Norte
TXN-1204,2026-08-04,14:59,C-274,Pago Tarjeta,1314.74,SUC-Sur
TXN-1514,2026-08-24,08:48,C-686,Transferencia,649.59,SUC-Sur
TXN-1628,2026-08-17,08:30,C-116,Transferencia,1398.92,SUC-Norte
TXN-1945,2026-08-01,15:40,C-544,Transferencia,2739.87,SUC-Norte
TXN-1527,2026-08-27,18:48,C-600,Pago Tarjeta,225.45,SUC-Centro
TXN-1344,2026-08-15,12:47,C-261,Transferencia,2269.44,Banca Movil
TXN-1855,2026-08-14,16:52,C-149,Retiro Efectivo,2773.97,SUC-Sur
TXN-1025,2026-08-07,07:31,C-308,Retiro Efectivo,1335.01,Cajero Automático
TXN-1084,2026-08-08,20:30,C-149,Pago Tarjeta,2690.89,Cajero Automático
TXN-1010,2026-08-22,11:39,C-350,Deposito,3083.7,SUC-Sur
TXN-1893,2026-08-13,11:15,C-932,Pago Tarjeta,925.53,SUC-Norte
TXN-1770,2026-08-25,09:48,C-309,Retiro Efectivo,1831.48,SUC-Centro
TXN-1621,2026-08-14,14:43,C-215,Transferencia,2690.2,Cajero Automático
TXN-1365,2026-08-13,19:25,C-840,Deposito,2366.59,SUC-Sur
TXN-1752,2026-08-26,21:14,C-322,Transferencia,1618.52,Banca Movil
TXN-1118,2026-08-11,18:18,C-561,Pago Tarjeta,2395.01,SUC-Centro
TXN-1350,2026-08-02,21:17,C-766,Pago Tarjeta,3005.23,Cajero Automático
TXN-1250,2026-08-17,20:28,C-277,Deposito,2931.55,Banca Movil
TXN-1705,2026-08-10,15:53,C-346,Pago Tarjeta,3107.86,SUC-Norte
TXN-1941,2026-08-06,14:43,C-275,Retiro Efectivo,875.44,Banca Movil
TXN-1196,2026-08-01,09:19,C-894,Transferencia,3217.81,SUC-Norte
TXN-1596,2026-08-07,16:25,C-845,Transferencia,1194.42,Cajero Automático
TXN-1081,2026-08-10,14:28,C-320,Deposito,3128.69,SUC-Sur
TXN-1960,2026-08-23,17:35,C-377,Deposito,721.11,SUC-Centro
TXN-1457,2026-08-03,13:27,C-783,Pago Tarjeta,2351.69,Cajero Automático
TXN-1611,2026-08-11,08:09,C-335,Transferencia,2183.31,SUC-Norte
TXN-1239,2026-08-03,12:47,C-822,Deposito,745.77,Banca Movil
TXN-1277,2026-08-08,20:06,C-312,Deposito,2195.23,Cajero Automático
TXN-1211,2026-08-20,09:24,C-489,Transferencia,3481.65,SUC-Norte
TXN-1708,2026-08-21,17:21,C-407,Retiro Efectivo,114.27,Cajero Automático
TXN-1859,2026-08-11,12:42,C-240,Retiro Efectivo,2677.31,Cajero Automático
TXN-1713,2026-08-25,09:53,C-574,Retiro Efectivo,2085.63,SUC-Centro
TXN-1227,2026-08-27,09:28,C-807,Transferencia,2139.44,SUC-Centro
TXN-1843,2026-08-27,12:27,C-600,Pago Tarjeta,499.63,SUC-Centro
TXN-1497,2026-08-16,16:35,C-710,Transferencia,917.13,SUC-Centro
TXN-1785,2026-08-09,16:29,C-625,Transferencia,458.24,SUC-Centro
TXN-1482,2026-08-24,20:29,C-482,Transferencia,3033.7,Banca Movil
TXN-1636,2026-08-14,07:23,C-712,Transferencia,2566.17,Cajero Automático
TXN-1346,2026-08-28,10:08,C-768,Transferencia,860.75,SUC-Norte
TXN-1450,2026-08-03,07:46,C-111,Transferencia,1788.43,Cajero Automático
TXN-1824,2026-08-07,19:08,C-801,Transferencia,1232.22,Banca Movil
TXN-1352,2026-08-18,11:58,C-874,Retiro Efectivo,459.54,SUC-Centro
TXN-1007,2026-08-05,09:27,C-757,Transferencia,1798.44,Cajero Automático
TXN-1155,2026-08-08,07:48,C-243,Retiro Efectivo,993.67,SUC-Sur
TXN-1534,2026-08-02,09:47,C-235,Retiro Efectivo,2754.91,SUC-Norte
TXN-1422,2026-08-03,15:13,C-976,Deposito,3095.3,SUC-Centro
TXN-1704,2026-08-03,15:49,C-584,Pago Tarjeta,958.16,Banca Movil
TXN-1380,2026-08-18,08:40,C-396,Retiro Efectivo,2913.1,SUC-Norte
TXN-1767,2026-08-18,11:58,C-812,Deposito,1832.49,SUC-Norte
TXN-1559,2026-08-06,14:33,C-165,Transferencia,3358.19,Banca Movil
TXN-1319,2026-08-02,16:55,C-240,Pago Tarjeta,2360.96,SUC-Norte
TXN-1591,2026-08-28,20:44,C-282,Pago Tarjeta,2280.64,SUC-Norte
TXN-1920,2026-08-05,09:50,C-331,Pago Tarjeta,180.26,SUC-Sur
TXN-1398,2026-08-16,08:53,C-579,Transferencia,421.79,SUC-Norte
TXN-1523,2026-08-23,21:42,C-796,Pago Tarjeta,2498.43,SUC-Centro
TXN-1809,2026-08-05,12:50,C-693,Transferencia,2333.02,SUC-Centro
TXN-1501,2026-08-03,20:42,C-638,Pago Tarjeta,2913.44,Banca Movil
TXN-1430,2026-08-07,09:08,C-510,Pago Tarjeta,3398.2,SUC-Norte
TXN-9004,2026-08-15,14:55,C-888,Transferencia,9990.0,Banca Movil
TXN-1228,2026-08-26,15:30,C-308,Transferencia,523.21,SUC-Sur
TXN-1764,2026-08-15,17:21,C-872,Transferencia,1310.27,Banca Movil
TXN-1877,2026-08-03,20:38,C-775,Transferencia,1139.86,SUC-Centro
TXN-1212,2026-08-07,10:58,C-251,Pago Tarjeta,2333.8,Cajero Automático
TXN-1079,2026-08-08,07:36,C-568,Transferencia,950.96,SUC-Sur
TXN-1148,2026-08-09,07:05,C-923,Pago Tarjeta,2519.06,SUC-Sur
TXN-1302,2026-08-16,17:34,C-394,Retiro Efectivo,149.42,Cajero Automático
TXN-1545,2026-08-04,07:09,C-840,Deposito,1195.0,SUC-Sur
TXN-1536,2026-08-12,08:47,C-525,Pago Tarjeta,808.87,Banca Movil
TXN-1327,2026-08-11,10:38,C-785,Retiro Efectivo,2383.22,Banca Movil
TXN-1975,2026-08-22,07:41,C-247,Retiro Efectivo,3382.89,Cajero Automático
TXN-1799,2026-08-03,15:23,C-146,Transferencia,185.21,Cajero Automático
TXN-1133,2026-08-23,09:50,C-671,Retiro Efectivo,295.69,Banca Movil
TXN-1543,2026-08-08,16:38,C-926,Transferencia,813.13,Banca Movil
TXN-1311,2026-08-22,14:06,C-319,Deposito,952.56,Banca Movil
TXN-1599,2026-08-09,11:47,C-103,Retiro Efectivo,2790.04,Banca Movil
TXN-1423,2026-08-14,16:13,C-754,Transferencia,1789.18,SUC-Norte
TXN-1000,2026-08-21,12:00,C-732,Transferencia,2606.26,SUC-Centro
TXN-1316,2026-08-15,07:53,C-675,Transferencia,2039.44,SUC-Centro
TXN-1697,2026-08-17,09:13,C-518,Retiro Efectivo,1953.27,SUC-Norte
TXN-1797,2026-08-09,09:42,C-420,Transferencia,605.9,SUC-Centro
TXN-1328,2026-08-26,19:22,C-643,Retiro Efectivo,1377.82,Banca Movil
TXN-1525,2026-08-18,11:01,C-834,Retiro Efectivo,580.28,SUC-Sur
TXN-1972,2026-08-12,16:02,C-116,Retiro Efectivo,2855.36,SUC-Sur
TXN-1433,2026-08-11,08:42,C-289,Retiro Efectivo,1473.97,SUC-Norte
TXN-1172,2026-08-13,19:35,C-825,Transferencia,2924.64,SUC-Sur
TXN-1125,2026-08-02,17:51,C-725,Pago Tarjeta,1193.04,SUC-Norte
